dataset,ano,uf,cargo,linhas,total
candidatos,2014,BR,*,26195,
candidatos,2014,AC,*,617,
votacao_candidato_municipio,2014,AC,DEPUTADO ESTADUAL,10934,377299.0
votacao_candidato_municipio,2014,AC,DEPUTADO FEDERAL,1364,368332.0
votacao_candidato_municipio,2014,AC,GOVERNADOR,132,771757.0
votacao_candidato_municipio,2014,AC,SENADOR,88,374813.0
apuracao_municipio,2014,AC,DEPUTADO ESTADUAL,22,377299.0
apuracao_municipio,2014,AC,DEPUTADO FEDERAL,22,368332.0
apuracao_municipio,2014,AC,GOVERNADOR,44,771757.0
apuracao_municipio,2014,AC,SENADOR,22,374813.0
candidatos,2014,AL,*,479,
votacao_candidato_municipio,2014,AL,DEPUTADO ESTADUAL,26724,1314659.0
votacao_candidato_municipio,2014,AL,DEPUTADO FEDERAL,10200,1283120.0
votacao_candidato_municipio,2014,AL,GOVERNADOR,800,1285091.0
votacao_candidato_municipio,2014,AL,SENADOR,686,1237779.0
apuracao_municipio,2014,AL,DEPUTADO ESTADUAL,102,1314659.0
apuracao_municipio,2014,AL,DEPUTADO FEDERAL,102,1283120.0
apuracao_municipio,2014,AL,GOVERNADOR,102,1285091.0
apuracao_municipio,2014,AL,SENADOR,102,1237779.0
candidatos,2014,AM,*,778,
votacao_candidato_municipio,2014,AM,DEPUTADO ESTADUAL,35340,1552644.0
votacao_candidato_municipio,2014,AM,DEPUTADO FEDERAL,4898,1560085.0
votacao_candidato_municipio,2014,AM,GOVERNADOR,1214,6021073.0
votacao_candidato_municipio,2014,AM,SENADOR,338,1596265.0
apuracao_municipio,2014,AM,DEPUTADO ESTADUAL,62,1552644.0
apuracao_municipio,2014,AM,DEPUTADO FEDERAL,62,1560085.0
apuracao_municipio,2014,AM,GOVERNADOR,124,6021073.0
apuracao_municipio,2014,AM,SENADOR,62,1596265.0
candidatos,2014,AP,*,546,
votacao_candidato_municipio,2014,AP,DEPUTADO ESTADUAL,5408,373731.0
votacao_candidato_municipio,2014,AP,DEPUTADO FEDERAL,1664,368061.0
votacao_candidato_municipio,2014,AP,GOVERNADOR,143,746582.0
votacao_candidato_municipio,2014,AP,SENADOR,138,363236.0
apuracao_municipio,2014,AP,DEPUTADO ESTADUAL,16,373731.0
apuracao_municipio,2014,AP,DEPUTADO FEDERAL,16,368061.0
apuracao_municipio,2014,AP,GOVERNADOR,32,746582.0
apuracao_municipio,2014,AP,SENADOR,16,363236.0
candidatos,2014,BA,*,1093,
votacao_candidato_municipio,2014,BA,DEPUTADO ESTADUAL,241443,6053428.0
